"","ID","T3TOISA2","T3TOISA4","T3TOISA5","T3TOISA8","T3TOISA12","T3TOISA14","T3TOISA15","T3TOISA16","T3TOIspanx_O","T3TOIspanx_mi","T3TOIspanx"
"118",118,5,4,NA,5,2,2,5,4,3.85714285714286,1,3.85714285714286
"119",119,4,5,1,5,1,1,1,4,2.75,0,2.75
"120",120,4,1,1,1,5,1,5,1,2.375,0,2.375
"121",121,5,5,1,5,1,2,4,1,3,0,3
"122",122,4,5,3,5,1,1,3,5,3.375,0,3.375
"123",123,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"124",124,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"125",125,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"126",126,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"127",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"128",128,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"129",129,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"130",130,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"131",131,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"132",132,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"133",133,5,5,2,5,1,1,5,1,3.125,0,3.125
"134",134,4,1,1,4,3,1,2,2,2.25,0,2.25
"135",135,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"136",136,3,1,1,4,2,3,4,2,2.5,0,2.5
"137",137,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"138",138,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"139",139,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"140",140,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"141",141,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"142",142,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
